frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
0,0.0,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00000.png,0.0,-0.25,1.5,0.0002194406327340138,-0.00020750983400971896,0.01257302210933933,-0.011889437696217168,0.01257302210933933,-0.011889437696217168,0.01257302210933933,-0.011889437696217168
1,0.001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00001.png,0.0,-0.25,1.5,0.0013371890181924134,-4.273311530536989e-05,0.07661528715366754,-0.002448427152443597,0.07661528715366754,-0.002448427152443597,0.06404226504432821,0.009441010543773573
2,0.002,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00002.png,0.0,-0.25,1.5,0.0004022695918168602,0.0005252590687336476,0.023048349837556447,0.030095127789410026,0.023048349837556447,0.030095127789410026,-0.0535669373161111,0.032543554941853625
3,0.003,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00003.png,0.0,-0.25,1.5,0.0026781790151844146,0.002012930366794434,0.15344835435057017,0.11533241447104181,0.15344835435057017,0.11533241447104181,0.13040000451301373,0.08523728668163179
4,0.004,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00004.png,0.0,-0.25,1.5,0.001449929322471343,2.5210968227900102e-05,0.0830748307698709,0.001444482076897088,0.0830748307698709,0.001444482076897088,-0.07037352358069927,-0.11388793239414471
5,0.005,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00005.png,0.0,-0.25,1.5,0.00036211017098385827,9.01256647877521e-05,0.020747384516135683,0.005163820218149012,0.020747384516135683,0.005163820218149012,-0.06232744625373522,0.0037193381412519238
6,0.006,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00006.png,0.0,-0.25,1.5,-0.003695834051780335,-0.00025355147725083415,-0.21175569294774776,-0.014527429535780102,-0.21175569294774776,-0.014527429535780102,-0.23250307746388343,-0.019691249753929115
7,0.007,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00007.png,0.0,-0.25,1.5,-0.0058703588734010746,-0.0014037943482508315,-0.3363467876730543,-0.08043149145909075,-0.3363467876730543,-0.08043149145909075,-0.12459109472530654,-0.06590406192331064
8,0.008,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00008.png,0.0,-0.25,1.5,-0.0068202699968426175,-0.0019006374720401508,-0.3907726859587853,-0.10889850553231466,-0.3907726859587853,-0.10889850553231466,-0.054425898285730995,-0.02846701407322391
9,0.009000000000000001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00009.png,0.0,-0.25,1.5,-0.006101839180694728,-0.000263061300685022,-0.349609632321372,-0.015072302282473672,-0.349609632321372,-0.015072302282473672,0.04116305363741328,0.09382620324984098
10,0.01,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00010.png,0.0,-0.25,1.5,-0.006326174487826183,0.0018833744995538305,-0.36246309861577547,0.10790941006699803,-0.36246309861577547,0.10790941006699803,-0.012853466294403426,0.12298171234947171
