idx time_s pre_x pre_y post_x post_y dx dy
0 0.010047000 93 159 93 159 0.000000 0.000000
1 0.020047000 93 159 149 101 56.000000 -58.000000
2 0.030047000 149 101 43 84 -106.000000 -17.000000
3 0.040047000 43 84 73 81 30.000000 -3.000000
4 0.050047000 73 81 74 176 1.000000 95.000000
5 0.060047000 74 176 115 181 41.000000 5.000000
6 0.070047000 115 181 104 153 -11.000000 -28.000000
7 0.080047000 104 153 149 172 45.000000 19.000000
8 0.090047000 149 172 178 138 29.000000 -34.000000
9 0.100047000 178 138 111 185 -67.000000 47.000000
10 0.110047000 111 185 102 156 -9.000000 -29.000000
11 0.120047000 102 156 198 19 96.000000 -137.000000
12 0.130047000 198 19 62 179 -136.000000 160.000000
13 0.140047000 62 179 32 100 -30.000000 -79.000000
14 0.150047000 32 100 138 153 106.000000 53.000000
15 0.160047000 138 153 90 97 -48.000000 -56.000000
16 0.170047000 90 97 137 172 47.000000 75.000000
17 0.180047000 137 172 139 146 2.000000 -26.000000
18 0.190047000 139 146 92 120 -47.000000 -26.000000
19 0.200047000 92 120 136 134 44.000000 14.000000
20 0.210047000 136 134 53 82 -83.000000 -52.000000
21 0.220047000 53 82 41 99 -12.000000 17.000000
22 0.230047000 41 99 89 162 48.000000 63.000000
23 0.240047000 89 162 77 130 -12.000000 -32.000000
24 0.250047000 77 130 63 173 -14.000000 43.000000
25 0.260047000 63 173 149 145 86.000000 -28.000000
26 0.270047000 149 145 138 229 -11.000000 84.000000
27 0.280047000 138 229 81 201 -57.000000 -28.000000
28 0.290047000 81 201 70 174 -11.000000 -27.000000
29 0.300047000 70 174 107 147 37.000000 -27.000000
30 0.310047000 107 147 51 170 -56.000000 23.000000
31 0.320047000 51 170 157 138 106.000000 -32.000000
32 0.330047000 157 138 26 99 -131.000000 -39.000000
33 0.340047000 26 99 54 171 28.000000 72.000000
34 0.350047000 54 171 161 153 107.000000 -18.000000
35 0.360047000 161 153 96 122 -65.000000 -31.000000
36 0.370047000 96 122 136 135 40.000000 13.000000
37 0.380047000 136 135 54 173 -82.000000 38.000000
38 0.390047000 54 173 57 180 3.000000 7.000000
39 0.400047000 57 180 66 122 9.000000 -58.000000
40 0.410047000 66 122 159 138 93.000000 16.000000
41 0.420047000 159 138 93 118 -66.000000 -20.000000
42 0.430047000 93 118 99 146 6.000000 28.000000
43 0.440047000 99 146 48 139 -51.000000 -7.000000
44 0.450047000 48 139 161 136 113.000000 -3.000000
45 0.460047000 161 136 58 177 -103.000000 41.000000
46 0.470047000 58 177 73 115 15.000000 -62.000000
47 0.480047000 73 115 131 130 58.000000 15.000000
48 0.490047000 131 130 20 91 -111.000000 -39.000000
49 0.500047000 20 91 41 167 21.000000 76.000000
50 0.510047000 41 167 82 184 41.000000 17.000000
