idx time_s pre_x pre_y post_x post_y dx dy
0 0.010000000 72 174 72 174 0.000000 0.000000
1 0.020000000 72 174 151 131 79.000000 -43.000000
2 0.030000000 151 131 111 187 -40.000000 56.000000
3 0.040000000 111 187 44 88 -67.000000 -99.000000
4 0.050000000 44 88 106 159 62.000000 71.000000
5 0.060000000 106 159 153 136 47.000000 -23.000000
6 0.070000000 153 136 72 180 -81.000000 44.000000
7 0.080000000 72 180 172 109 100.000000 -71.000000
8 0.090000000 172 109 68 178 -104.000000 69.000000
9 0.100000000 68 178 68 172 0.000000 -6.000000
10 0.110000000 68 172 65 179 -3.000000 7.000000
11 0.120000000 65 179 145 139 80.000000 -40.000000
12 0.130000000 145 139 118 146 -27.000000 7.000000
13 0.140000000 118 146 60 179 -58.000000 33.000000
14 0.150000000 60 179 101 191 41.000000 12.000000
15 0.160000000 101 191 42 103 -59.000000 -88.000000
16 0.170000000 42 103 59 178 17.000000 75.000000
17 0.180000000 59 178 62 178 3.000000 0.000000
18 0.190000000 62 178 99 120 37.000000 -58.000000
19 0.200000000 99 120 92 158 -7.000000 38.000000
20 0.210000000 92 158 139 136 47.000000 -22.000000
21 0.220000000 139 136 99 180 -40.000000 44.000000
22 0.230000000 99 180 58 175 -41.000000 -5.000000
23 0.240000000 58 175 72 93 14.000000 -82.000000
24 0.250000000 72 93 134 174 62.000000 81.000000
25 0.260000000 134 174 51 175 -83.000000 1.000000
26 0.270000000 51 175 54 174 3.000000 -1.000000
27 0.280000000 54 174 98 189 44.000000 15.000000
28 0.290000000 98 189 150 152 52.000000 -37.000000
29 0.300000000 150 152 152 92 2.000000 -60.000000
30 0.310000000 152 92 86 165 -66.000000 73.000000
31 0.320000000 86 165 52 172 -34.000000 7.000000
32 0.330000000 52 172 55 183 3.000000 11.000000
33 0.340000000 55 183 56 145 1.000000 -38.000000
34 0.350000000 56 145 59 124 3.000000 -21.000000
35 0.360000000 59 124 94 192 35.000000 68.000000
36 0.370000000 94 192 137 136 43.000000 -56.000000
37 0.380000000 137 136 135 133 -2.000000 -3.000000
38 0.390000000 135 133 135 133 0.000000 0.000000
39 0.400000000 135 133 71 110 -64.000000 -23.000000
40 0.410000000 71 110 89 154 18.000000 44.000000
41 0.420000000 89 154 51 174 -38.000000 20.000000
42 0.430000000 51 174 72 112 21.000000 -62.000000
43 0.440000000 72 112 49 141 -23.000000 29.000000
44 0.450000000 49 141 146 148 97.000000 7.000000
45 0.460000000 146 148 36 95 -110.000000 -53.000000
46 0.470000000 36 95 129 130 93.000000 35.000000
47 0.480000000 129 130 131 165 2.000000 35.000000
48 0.490000000 131 165 44 165 -87.000000 0.000000
49 0.500000000 44 165 124 125 80.000000 -40.000000
50 0.510000000 124 125 74 169 -50.000000 44.000000
