beta,seed,mean_relevant_information,mean_roi_event_fraction,mean_roi_event_density,roi_empty_fraction,mean_total_event_mass,mean_roi_event_mass,n_fixations,unique_cells,revisit_fraction,consecutive_same_cell_fraction,mean_saccade_length_px,median_saccade_length_px,std_saccade_length_px
5,0,0.08615057540997836,0.09156652917721145,0.13974496637510403,0.3333333333333333,4287.431372549019,392.2352941176471,50,36,0.28,0.0,109.92640680560804,114.73036346530559,51.33113175070243
5,1,0.0800529649828836,0.08283273038855285,0.12704330328541905,0.29411764705882354,4287.431372549019,355.8627450980392,50,36,0.28,0.0,113.69181704040315,115.70851466394473,52.30230146037075
5,2,0.10761876760106297,0.12001759304540499,0.16322883728072926,0.27450980392156865,4287.431372549019,458.5098039215686,50,33,0.33999999999999997,0.0,95.6842988739419,85.53938302578611,57.34749296178658
5,3,0.10621557124665774,0.110854286351939,0.168380250130032,0.27450980392156865,4287.431372549019,469.6862745098039,50,34,0.31999999999999995,0.02040816326530612,109.4580033522067,97.62946469855083,64.43776456510814
5,4,0.09751769181753749,0.10087116894280572,0.1541286546229145,0.29411764705882354,4287.431372549019,432.03921568627453,50,36,0.28,0.02040816326530612,113.13012379168619,107.72637734534734,54.64444245188852
6,0,0.11759908981839577,0.12526160750915105,0.18614936184512956,0.21568627450980393,4287.431372549019,522.8627450980392,50,33,0.33999999999999997,0.0,95.90236136367213,82.24917740265295,62.203674207169186
6,1,0.10080454075060111,0.10492431124145367,0.16265421757485074,0.2549019607843137,4287.431372549019,456.0980392156863,50,33,0.33999999999999997,0.04081632653061224,93.97645573042007,88.05311556083574,51.49413333913288
6,2,0.12737466619686633,0.13220216309916394,0.1971603878290369,0.11764705882352941,4287.431372549019,553.8235294117648,50,27,0.45999999999999996,0.02040816326530612,73.26606450451469,73.87975198635577,34.12511966309116
6,3,0.11270544461584163,0.11685910042511112,0.1763412947741982,0.17647058823529413,4287.431372549019,494.11764705882354,50,34,0.31999999999999995,0.0,100.22019383076317,93.30901682969149,55.327142963687045
6,4,0.10589671293880196,0.1095414793871846,0.16799068204794196,0.21568627450980393,4287.431372549019,470.0980392156863,50,30,0.4,0.061224489795918366,93.45855351337568,86.39643248280512,50.351750467957864
7,0,0.1141336779538489,0.1181329595239246,0.18092406061748298,0.2549019607843137,4287.431372549019,508.2156862745098,50,33,0.33999999999999997,0.02040816326530612,97.69985472779854,92.2727452378623,44.91723929814767
7,1,0.12316241881710165,0.13598005711501288,0.18847681472019207,0.13725490196078433,4287.431372549019,529.4313725490196,50,31,0.38,0.04081632653061224,81.09703856214784,86.31293101830408,44.28803829985592
7,2,0.1339877199431849,0.1472344559969603,0.20531345325599082,0.0392156862745098,4287.431372549019,576.7254901960785,50,25,0.5,0.02040816326530612,75.71888462143697,70.05085233872374,34.67031167563273
7,3,0.14379591910927325,0.14974273577549957,0.2280949341675778,0.09803921568627451,4287.431372549019,639.0,50,25,0.5,0.02040816326530612,90.31255154600396,90.4533144646735,55.225746108589405
7,4,0.12541008822051372,0.12983203156591994,0.19754909439745985,0.09803921568627451,4287.431372549019,553.3725490196078,50,27,0.45999999999999996,0.0,91.51561918740727,88.04530503377674,41.46868028700039
8,0,0.13947925894317045,0.14427445377415005,0.22128801680871701,0.09803921568627451,4287.431372549019,621.156862745098,50,26,0.48,0.0,75.67165262558179,68.13096854652123,42.83364318982544
8,1,0.14364829188312359,0.1571286085250386,0.22223728745885055,0.0784313725490196,4287.431372549019,621.5490196078431,50,24,0.52,0.061224489795918366,71.916198023469,62.42555329552214,48.9916366520776
8,2,0.1555333680573174,0.16968603238677596,0.2373058049245932,0.0196078431372549,4287.431372549019,666.4117647058823,50,24,0.52,0.02040816326530612,65.69377234607852,66.42639529012017,30.408358636098875
8,3,0.13882125585510732,0.14394260051000804,0.21687729915746998,0.09803921568627451,4287.431372549019,607.9215686274509,50,30,0.4,0.02040816326530612,78.34181608446637,72.59429175310811,43.484708261498604
8,4,0.14321625731396764,0.14811102863511855,0.22732952205446075,0.0392156862745098,4287.431372549019,638.5686274509804,50,26,0.48,0.04081632653061224,70.13397450256588,71.55067101575312,33.46947296378358
9,0,0.14256343365100302,0.15583690957251442,0.22208571649651654,0.058823529411764705,4287.431372549019,623.8235294117648,50,28,0.43999999999999995,0.061224489795918366,72.36905234276367,59.2072629174063,48.248526019043645
