beta,relevant_information_mean,relevant_information_sem,roi_event_fraction_mean,roi_event_fraction_sem,roi_event_density_mean,roi_event_density_sem,roi_empty_fraction_mean,roi_empty_fraction_sem,recurrence_mean,recurrence_sem,saccade_length_mean,saccade_length_sem
5,0.09551111421162403,0.005439582194145754,0.10122846158118279,0.006624090449325767,0.15050520233883977,0.007618336469712466,0.29411764705882354,0.010739657990297366,0.3,0.012649110640673502,108.37812997276919,3.282631194179784
6,0.11287609086410136,0.004620490040629222,0.11775773233241286,0.004989793440144601,0.17805918881423147,0.006212671851928207,0.19607843137254904,0.02320031287490045,0.372,0.025768197453450256,91.36472578854914,4.678548059836623
7,0.1280979648087845,0.0050383558177253965,0.13618444799546345,0.005797331500457202,0.2000716714317407,0.008124698849816836,0.12549019607843137,0.03594177015651639,0.43599999999999994,0.03249615361854385,87.26878972895892,3.92172145821104
8,0.14413968641053726,0.0030076191505712287,0.15262854476621823,0.004882892962575669,0.22500758608081828,0.0034946308022155924,0.06666666666666667,0.01592948706791365,0.48,0.02190890230020664,72.35148271643232,2.1947613185015546
9,0.1507351256972814,0.003988999674238242,0.16449479632741756,0.004189199075428289,0.23261543661761336,0.005701135890574889,0.023529411764705882,0.011433239009500589,0.512,0.01959591794226544,68.45081240677972,2.604161508836728
10,0.15123750150800572,0.0033574394385482605,0.16492406828144496,0.0034629360963074475,0.23460079945954487,0.005555702438856412,0.011764705882352941,0.00784313725490196,0.56,0.010954451150103331,68.91302190960009,2.2737485794242085
11,0.15004098058527965,0.0036309705293328443,0.16379939360851828,0.0037341786010119467,0.2311135068306842,0.006001285104360744,0.011764705882352941,0.00784313725490196,0.572,0.03006659275674582,67.97279161177975,2.093223774778994
12,0.15605467861456762,0.0015051256312670375,0.17000861538745654,0.001553174195054963,0.24115313676119082,0.0024161874871469796,0.0,0.0,0.5800000000000001,0.016733200530681506,63.289875572843314,1.0017737713170067
13,0.15780081731800671,0.0011506751189404962,0.17174347689748148,0.0011487330896327121,0.24466753639034663,0.0024248096886169,0.0,0.0,0.6,0.02280350850198274,61.10220452089523,0.4993237361400523
14,0.15895972320167281,0.002135865183244532,0.17302060636963562,0.0021872242393203606,0.2451108968598422,0.0037324282467571693,0.0,0.0,0.608,0.023323807579381177,60.15912075242187,1.8007138341951392
15,0.15917602196782804,0.0008102872096089838,0.17326562084025515,0.0009001299387224044,0.24544568119845422,0.0006855914048439477,0.0,0.0,0.62,0.01264911064067351,59.851922114260404,2.0288164920875698
16,0.16124132084332582,0.0014125544646098715,0.17540487875717772,0.0014786660700844704,0.24891558702004474,0.0021070542995237653,0.0,0.0,0.632,0.00489897948556636,59.83576056199271,1.8130347890363467
17,0.15887118786141827,0.0015015518528181068,0.17292654624401854,0.0015367081928017454,0.24546065011616186,0.002487726307599659,0.0,0.0,0.616,0.011661903789690594,60.03145726279189,0.9505915511609709
18,0.1591717190536101,0.002435161264495675,0.1733142060509843,0.002543791103837496,0.24529549641579015,0.0036731631267637333,0.0,0.0,0.624,0.01939071942966529,60.94221962888612,0.6462013648098639
19,0.15843303851427878,0.0021062263933362664,0.17254145025814985,0.0021852018701641667,0.24392062814049983,0.003119949645517028,0.0,0.0,0.616,0.0097979589711327,61.959542167784285,0.7517272703277708
20,0.15803207437628136,0.002658087209902941,0.17213300702597903,0.002771187486865272,0.24315336265070836,0.003989603895679815,0.0,0.0,0.616,0.011661903789690594,64.1557828720621,1.5476582402097467
21,0.16006915642301625,0.0014175400072423603,0.17428103376205917,0.001481270761081775,0.24581397833877777,0.0021544945048977237,0.0,0.0,0.624,0.011661903789690594,60.93556321902565,1.2427090158023049
22,0.15895866094162775,0.0015705722035639221,0.1731294229355817,0.0015793527374511089,0.2439184348927354,0.002821397307066493,0.0,0.0,0.62,0.015491933384829657,61.874695541043664,1.6017639691951946
23,0.1585187185541897,0.001090834228098888,0.1726768393644505,0.001101340302712089,0.2432263215199732,0.001981285203288476,0.0,0.0,0.624,0.01469693845669905,60.95679877923969,2.11242842154996
24,0.15848557422388895,0.0013822945851475145,0.17261640327152744,0.0014292094076850382,0.24326093691756118,0.0020706317146429076,0.0,0.0,0.6639999999999999,0.009797958971132694,60.50515562128121,1.9710033411693497
25,0.1585126996328005,0.0017973970854624505,0.17266393541895791,0.0018397100261296985,0.24310403980759307,0.0030107286915792,0.0,0.0,0.6639999999999999,0.009797958971132708,59.41264765149322,2.462414922294621
26,0.15845074715755414,0.0008156445474692984,0.1725728323727182,0.0008506216970472649,0.24333632485130358,0.0012936491204712007,0.0,0.0,0.6799999999999999,0.010954451150103331,58.431624619115084,1.9498489587506733
27,0.15736194344735116,0.0011919866813337701,0.17147956626706412,0.0011974551650824627,0.24126315667338805,0.002227424482281209,0.0,0.0,0.6759999999999999,0.023151673805580454,57.29144366406026,0.9327096912428952
28,0.1581940576212167,0.0005253924031076167,0.17230582784726522,0.0005559255618026263,0.24314730872757268,0.0009029491159023227,0.0,0.0,0.6839999999999999,0.021354156504062624,57.02513815785729,1.3236004769969196
29,0.1563954238248742,0.0009204123144075918,0.17046692938697294,0.0009327671058858771,0.24001176529886306,0.0017112466292928047,0.0,0.0,0.6679999999999999,0.011999999999999985,57.48375514014786,1.917075142886951
30,0.15819661486365078,0.0009377284763716526,0.17234020964449354,0.0009475864434446546,0.2425582021719391,0.001766478138259848,0.0,0.0,0.696,0.016000000000000014,55.84000464030536,1.5465944362242758
