t_us x_px y_px
0 64.000000 64.000000
1000 63.981739 63.987030
2000 64.044586 64.022980
3000 64.071571 64.031799
4000 64.105713 64.022034
5000 64.078056 64.036331
6000 64.097084 64.017258
7000 64.065948 64.043678
8000 64.077484 64.056595
9000 64.104813 64.121216
10000 64.044441 64.073914
11000 64.048973 64.107819
12000 64.056313 64.116730
13000 64.086594 64.081253
14000 64.095085 64.137856
15000 64.057411 64.120163
16000 64.049210 64.161743
17000 64.088600 64.194260
18000 64.093987 64.232460
19000 64.128891 64.307083
20000 64.119064 64.282860
21000 64.112198 64.277237
22000 64.134895 64.243713
23000 64.049927 64.281387
24000 64.102661 64.281097
25000 64.119354 64.278717
26000 64.088455 64.334213
27000 64.102997 64.325485
28000 64.134087 64.322205
29000 64.129417 64.293777
30000 64.169418 64.329254
31000 64.219299 64.308273
32000 64.190117 64.301315
33000 64.147392 64.318054
34000 64.104713 64.334793
35000 64.061989 64.351524
36000 64.019310 64.368309
37000 63.976635 64.385048
38000 63.933910 64.401779
39000 63.891232 64.418518
40000 63.848507 64.435303
41000 63.805832 64.452042
42000 63.763107 64.468781
43000 63.720428 64.485519
44000 63.677704 64.502304
45000 63.635029 64.519043
46000 63.592300 64.535774
47000 63.549625 64.552513
48000 63.506947 64.569298
49000 63.464222 64.586029
